start,end,start [s],end [s],dur [s],speaker
24855,38981,1.553,2.436,0.883,SPEAKER_01
67775,80000,4.236,5.0,0.764,SPEAKER_01
85432,93582,5.34,5.849,0.509,SPEAKER_01
106078,114499,6.63,7.156,0.526,SPEAKER_02
145738,173174,9.109,10.823,1.715,SPEAKER_01
227504,282648,14.219,17.666,3.447,SPEAKER_01
354634,369575,22.165,23.098,0.934,SPEAKER_00
417113,426621,26.07,26.664,0.594,SPEAKER_00
441833,450526,27.615,28.158,0.543,SPEAKER_03
511646,578743,31.978,36.171,4.194,SPEAKER_01
621663,633616,38.854,39.601,0.747,SPEAKER_01
636604,637147,39.788,39.822,0.034,SPEAKER_01
637147,649371,39.822,40.586,0.764,SPEAKER_03
693921,720814,43.37,45.051,1.681,SPEAKER_01
760475,771341,47.53,48.209,0.679,SPEAKER_01
810458,822139,50.654,51.384,0.73,SPEAKER_01
827572,831646,51.723,51.978,0.255,SPEAKER_02
852563,866417,53.285,54.151,0.866,SPEAKER_01
869949,883259,54.372,55.204,0.832,SPEAKER_02
934601,946281,58.413,59.143,0.73,SPEAKER_01
1002784,1014193,62.674,63.387,0.713,SPEAKER_01
1042988,1056027,65.187,66.002,0.815,SPEAKER_01
