start,end,start [s],end [s],dur [s],speaker
135,11816,0.008,0.739,0.73,SPEAKER_02
91409,105806,5.713,6.613,0.9,SPEAKER_02
204957,213378,12.81,13.336,0.526,SPEAKER_03
237555,262275,14.847,16.392,1.545,SPEAKER_00
331273,341595,20.705,21.35,0.645,SPEAKER_03
346213,368488,21.638,23.031,1.392,SPEAKER_01
402716,417928,25.17,26.121,0.951,SPEAKER_01
447266,453514,27.954,28.345,0.39,SPEAKER_03
459219,489100,28.701,30.569,1.868,SPEAKER_01
558370,572495,34.898,35.781,0.883,SPEAKER_01
673548,719728,42.097,44.983,2.886,SPEAKER_02
689847,696910,43.115,43.557,0.441,SPEAKER_03
775415,784108,48.463,49.007,0.543,SPEAKER_03
793344,814261,49.584,50.891,1.307,SPEAKER_00
853650,869405,53.353,54.338,0.985,SPEAKER_00
982954,991918,61.435,61.995,0.56,SPEAKER_00
991918,997351,61.995,62.334,0.34,SPEAKER_01
