start,end,start [s],end [s],dur [s],speaker
10730,25127,0.671,1.57,0.9,SPEAKER_01
58539,59626,3.659,3.727,0.068,SPEAKER_01
80814,111782,5.051,6.986,1.935,SPEAKER_01
124006,155517,7.75,9.72,1.969,SPEAKER_01
162580,200339,10.161,12.521,2.36,SPEAKER_01
213378,231307,13.336,14.457,1.121,SPEAKER_01
266893,284006,16.681,17.75,1.07,SPEAKER_01
313073,327198,19.567,20.45,0.883,SPEAKER_01
344855,363870,21.553,22.742,1.188,SPEAKER_01
391578,398641,24.474,24.915,0.441,SPEAKER_01
433412,439117,27.088,27.445,0.357,SPEAKER_01
447809,452699,27.988,28.294,0.306,SPEAKER_01
478777,499422,29.924,31.214,1.29,SPEAKER_01
568692,602648,35.543,37.666,2.122,SPEAKER_00
620033,646655,38.752,40.416,1.664,SPEAKER_02
646655,646926,40.416,40.433,0.017,SPEAKER_00
646926,651001,40.433,40.688,0.255,SPEAKER_02
651001,651544,40.688,40.722,0.034,SPEAKER_00
651544,651816,40.722,40.739,0.017,SPEAKER_01
675721,676264,42.233,42.267,0.034,SPEAKER_02
676264,686044,42.267,42.878,0.611,SPEAKER_01
701528,710492,43.846,44.406,0.56,SPEAKER_01
731952,746893,45.747,46.681,0.934,SPEAKER_01
763191,777045,47.699,48.565,0.866,SPEAKER_01
803395,832190,50.212,52.012,1.8,SPEAKER_01
848488,893853,53.031,55.866,2.835,SPEAKER_01
900916,916672,56.307,57.292,0.985,SPEAKER_01
945195,961494,59.075,60.093,1.019,SPEAKER_01
989202,1010662,61.825,63.166,1.341,SPEAKER_01
1018268,1027232,63.642,64.202,0.56,SPEAKER_01
