start,end,start [s],end [s],dur [s],speaker
135,3395,0.008,0.212,0.204,SPEAKER_01
11273,15891,0.705,0.993,0.289,SPEAKER_01
15891,16977,0.993,1.061,0.068,SPEAKER_00
33276,43056,2.08,2.691,0.611,SPEAKER_01
90865,115042,5.679,7.19,1.511,SPEAKER_00
120203,159592,7.513,9.975,2.462,SPEAKER_01
165297,175076,10.331,10.942,0.611,SPEAKER_01
190560,201426,11.91,12.589,0.679,SPEAKER_01
222071,238913,13.879,14.932,1.053,SPEAKER_01
254397,309269,15.9,19.329,3.43,SPEAKER_01
267164,274227,16.698,17.139,0.441,SPEAKER_00
282920,284821,17.683,17.801,0.119,SPEAKER_00
313344,330186,19.584,20.637,1.053,SPEAKER_01
345670,357623,21.604,22.351,0.747,SPEAKER_01
357623,357894,22.351,22.368,0.017,SPEAKER_00
372292,376638,23.268,23.54,0.272,SPEAKER_00
422275,436672,26.392,27.292,0.9,SPEAKER_00
474159,532563,29.635,33.285,3.65,SPEAKER_00
570050,636061,35.628,39.754,4.126,SPEAKER_00
657521,675449,41.095,42.216,1.121,SPEAKER_00
710220,729779,44.389,45.611,1.222,SPEAKER_00
751239,768081,46.952,48.005,1.053,SPEAKER_00
768081,770254,48.005,48.141,0.136,SPEAKER_01
770254,771884,48.141,48.243,0.102,SPEAKER_00
771884,775144,48.243,48.447,0.204,SPEAKER_01
775144,775959,48.447,48.497,0.051,SPEAKER_00
778947,779219,48.684,48.701,0.017,SPEAKER_00
779219,797147,48.701,49.822,1.121,SPEAKER_01
805025,813718,50.314,50.857,0.543,SPEAKER_01
822682,846587,51.418,52.912,1.494,SPEAKER_01
823497,833820,51.469,52.114,0.645,SPEAKER_00
851748,855008,53.234,53.438,0.204,SPEAKER_01
878913,885432,54.932,55.34,0.407,SPEAKER_01
913955,925908,57.122,57.869,0.747,SPEAKER_01
