start,end,start [s],end [s],dur [s],speaker
5025,86519,0.314,5.407,5.093,SPEAKER_01
100101,137317,6.256,8.582,2.326,SPEAKER_01
147368,201697,9.211,12.606,3.396,SPEAKER_01
176434,184584,11.027,11.537,0.509,SPEAKER_00
214465,235110,13.404,14.694,1.29,SPEAKER_01
237283,260916,14.83,16.307,1.477,SPEAKER_01
309813,331816,19.363,20.739,1.375,SPEAKER_01
342954,361969,21.435,22.623,1.188,SPEAKER_00
397555,412767,24.847,25.798,0.951,SPEAKER_01
461935,477419,28.871,29.839,0.968,SPEAKER_01
491273,509202,30.705,31.825,1.121,SPEAKER_01
564074,583089,35.255,36.443,1.188,SPEAKER_01
585534,616502,36.596,38.531,1.935,SPEAKER_00
662954,738471,41.435,46.154,4.72,SPEAKER_01
772971,793616,48.311,49.601,1.29,SPEAKER_01
827843,894668,51.74,55.917,4.177,SPEAKER_01
915585,940033,57.224,58.752,1.528,SPEAKER_01
