start,end,start [s],end [s],dur [s],speaker
135,41426,0.008,2.589,2.581,SPEAKER_00
66417,77011,4.151,4.813,0.662,SPEAKER_00
126179,166112,7.886,10.382,2.496,SPEAKER_00
227232,227775,14.202,14.236,0.034,SPEAKER_03
227775,240000,14.236,15.0,0.764,SPEAKER_00
240000,369303,15.0,23.081,8.081,SPEAKER_03
452427,474974,28.277,29.686,1.409,SPEAKER_02
510831,560000,31.927,35.0,3.073,SPEAKER_01
568149,615687,35.509,38.48,2.971,SPEAKER_04
663497,689575,41.469,43.098,1.63,SPEAKER_04
689575,690933,43.098,43.183,0.085,SPEAKER_05
758302,781935,47.394,48.871,1.477,SPEAKER_05
803938,835993,50.246,52.25,2.003,SPEAKER_05
845772,862886,52.861,53.93,1.07,SPEAKER_05
852020,854736,53.251,53.421,0.17,SPEAKER_02
900373,905263,56.273,56.579,0.306,SPEAKER_05
919660,933514,57.479,58.345,0.866,SPEAKER_05
