start,end,start [s],end [s],dur [s],speaker
135,65059,0.008,4.066,4.058,SPEAKER_01
89235,111239,5.577,6.952,1.375,SPEAKER_01
141120,171544,8.82,10.722,1.902,SPEAKER_01
198981,208217,12.436,13.014,0.577,SPEAKER_00
208217,209032,13.014,13.065,0.051,SPEAKER_01
209575,228862,13.098,14.304,1.205,SPEAKER_01
234023,273684,14.626,17.105,2.479,SPEAKER_01
301663,331273,18.854,20.705,1.851,SPEAKER_01
339151,356536,21.197,22.284,1.087,SPEAKER_01
376910,414940,23.557,25.934,2.377,SPEAKER_01
439932,466553,27.496,29.16,1.664,SPEAKER_01
512190,533921,32.012,33.37,1.358,SPEAKER_01
547775,583361,34.236,36.46,2.224,SPEAKER_01
640950,660780,40.059,41.299,1.239,SPEAKER_02
686044,694736,42.878,43.421,0.543,SPEAKER_02
