start,end,start [s],end [s],dur [s],speaker
135,111782,0.008,6.986,6.978,SPEAKER_01
128081,137045,8.005,8.565,0.56,SPEAKER_00
137045,137589,8.565,8.599,0.034,SPEAKER_01
143022,154974,8.939,9.686,0.747,SPEAKER_00
154974,155246,9.686,9.703,0.017,SPEAKER_01
164482,172088,10.28,10.756,0.475,SPEAKER_00
178879,183497,11.18,11.469,0.289,SPEAKER_00
187028,199796,11.689,12.487,0.798,SPEAKER_00
211205,263361,13.2,16.46,3.26,SPEAKER_00
267707,296502,16.732,18.531,1.8,SPEAKER_00
319592,336162,19.975,21.01,1.036,SPEAKER_00
353276,365229,22.08,22.827,0.747,SPEAKER_00
391578,404074,24.474,25.255,0.781,SPEAKER_00
416027,426349,26.002,26.647,0.645,SPEAKER_00
477962,489100,29.873,30.569,0.696,SPEAKER_00
530390,550764,33.149,34.423,1.273,SPEAKER_00
613242,621392,38.328,38.837,0.509,SPEAKER_00
887877,927538,55.492,57.971,2.479,SPEAKER_01
938132,944651,58.633,59.041,0.407,SPEAKER_00
1051952,1052224,65.747,65.764,0.017,SPEAKER_00
1110356,1121494,69.397,70.093,0.696,SPEAKER_00
