start,end,start [s],end [s],dur [s],speaker
25398,66960,1.587,4.185,2.598,SPEAKER_01
87606,136502,5.475,8.531,3.056,SPEAKER_01
169371,187300,10.586,11.706,1.121,SPEAKER_01
268251,295144,16.766,18.447,1.681,SPEAKER_01
454872,489371,28.43,30.586,2.156,SPEAKER_01
517623,523327,32.351,32.708,0.357,SPEAKER_00
552937,564074,34.559,35.255,0.696,SPEAKER_00
615687,649371,38.48,40.586,2.105,SPEAKER_01
693106,709405,43.319,44.338,1.019,SPEAKER_01
744719,823769,46.545,51.486,4.941,SPEAKER_01
834091,841426,52.131,52.589,0.458,SPEAKER_01
860441,875925,53.778,54.745,0.968,SPEAKER_01
